,Bird Type,Bird Info,Bird Family
359,Cassin's Kingbird,Tyrannus vociferans,New World Quail Odontophoridae 
360,Western Kingbird,Tyrannus verticalis,New World Quail Odontophoridae 
361,Eastern Kingbird,Tyrannus tyrannus,New World Quail Odontophoridae 
362,Scissor-tailed Flycatcher,Tyrannus forficatus,New World Quail Odontophoridae 
363,Black-capped Vireo,Vireo atricapilla,New World Quail Odontophoridae 
364,White-eyed Vireo,Vireo griseus,New World Quail Odontophoridae 
365,Bell's Vireo,Vireo bellii,New World Quail Odontophoridae 
366,Gray Vireo,Vireo vicinior,New World Quail Odontophoridae 
367,Hutton's Vireo,Vireo huttoni,New World Quail Odontophoridae 
368,Yellow-throated Vireo,Vireo flavifrons,New World Quail Odontophoridae 
369,Cassin's Vireo,Vireo cassinii,New World Quail Odontophoridae 
370,Blue-headed Vireo,Vireo solitarius,New World Quail Odontophoridae 
371,Plumbeous Vireo,Vireo plumbeus,New World Quail Odontophoridae 
372,Philadelphia Vireo,Vireo philadelphicus,New World Quail Odontophoridae 
373,Warbling Vireo,Vireo gilvus,New World Quail Odontophoridae 
374,Red-eyed Vireo,Vireo olivaceus,New World Quail Odontophoridae 
375,Black-whiskered Vireo,Vireo altiloquus,New World Quail Odontophoridae 
376,Loggerhead Shrike,Lanius ludovicianus,New World Quail Odontophoridae 
377,Northern Shrike,Lanius borealis,New World Quail Odontophoridae 
378,Canada Jay,Perisoreus canadensis,New World Quail Odontophoridae 
379,Green Jay,Cyanocorax yncas,New World Quail Odontophoridae 
